## Master file format version 1.0           2001.08.21 CCT&NRV

                    2005 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - May 22, 2007 - CCT


  SESSION      SESSION DATE  DOY TIME DUR        STATIONS      
   SKED CORR STATUS  PF  DBC SUBM DEL  MK4
    NAME        CODE   mondd ddd hh:mm hr                                                      yymondd     CODE     days NUM
------------------------------------------------------------------------------------------------------------------------------
|IN105-227     |I05227|AUG15|227|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-228     |I05228|AUG16|228|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-229     |I05229|AUG17|229|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-230     |A05230|AUG18|230|18:30|1  |KkSv                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-230     |I05230|AUG18|230|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-231     |I05231|AUG19|231|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-232     |K05232|AUG20|232|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-233     |K05233|AUG21|233|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-234     |I05234|AUG22|234|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-236     |I05236|AUG24|236|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-237     |I05237|AUG25|237|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-238     |I05238|AUG26|238|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-239     |K05239|AUG27|239|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-240     |K05240|AUG28|240|07:30|1  |OnTs                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-243     |I05243|AUG31|243|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
------------------------------------------------------------------------------------------------------------------
|IN105-244     |A05244|SEP01|244|18:30|1  |KkSv                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-244     |I05244|SEP01|244|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-245     |I05245|SEP02|245|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
