## Master file format version 1.0           2001.08.21 CCT&NRV

                         1997 MULTI-AGENCY SCHEDULE

                     Last Updated - December 27, 2007 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|CORE-A017 |CA017 |AUG26|238|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
|NEOS-A226 |NA226 |AUG26|238|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|BB023N    |BB023N|AUG27|239|08:00|24|Va                           |VLBA|VLBA|       |    | XV |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|NEOS-A227 |NA227 |SEP02|245|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B205 |CB205 |SEP03|246|18:30|24|GcKkMcSh                     |NASA|WASH|       |    | XA |NASA|     |    |
|VLBA5     |RDV05 |SEP08|251|14:00|24|GcGnKkOnVaWf                 |NASA|VLBA|       |    | XB |NASA|     |    |
|NEOS-A228 |NA228 |SEP09|252|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A018 |CA018 |SEP09|252|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
|MARS-11   |MARS11|SEP12|255|11:00|24|15ApGnHhHoKkMcWfWz           |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|MARS-12   |MARS12|SEP13|256|11:00|24|ApGnHhHoMaWz                 |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|IRIS-S118 |IS118 |SEP15|258|12:00|24|HhWfWz                       |BONN|BONN|       |    | XH |BONN|     |    |
|NEOS-A229 |NA229 |SEP16|259|18:00|24|ApGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|NEOS-A230 |NA230 |SEP23|266|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A019 |CA019 |SEP23|266|18:00|24|GcHhHoMaWf                   |NASA|HAYS|       |    | XA |NASA|     |    |
|NEOS-A231 |NA231 |SEP30|273|18:00|24|ApGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
----------------------------------------------------------------------------------------------------------------
|APSG-1    |APSG1 |OCT06|279|16:00|24|GcHoKkShUr                   |CHIN|WASH|       |    | XA |NASA|     |    |
|NEOS-A232 |NA232 |OCT07|280|18:00|24|GnKkNyWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A020 |CA020 |OCT07|280|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
|NEOS-A233 |NA233 |OCT14|287|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|APSG-2    |APSG2 |OCT20|293|16:00|24|GcHoKaKkShUr                 |CHIN|WASH|       |    | XA |NASA|     |    |
|CORE-A021 |CA021 |OCT21|294|18:00|24|GcHhHoMaWf                   |NASA|HAYS|       |    | XA |NASA|     |    |
|NEOS-A234 |NA234 |OCT21|294|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CRF-MS    |BF28  |OCT27|300|14:00|24|FdGnHhKkScWz                 |USNO|WASH|       |    | XV |USNO|     |    |
|NEOS-A235 |NA235 |OCT28|301|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B106 |CB106 |OCT29|302|18:30|24|ApGcKaNyOnUr                 |NASA|WASH|       |    | XA |NASA|     |    |
|EUROPE-39 |EURO39|OCT30|303|20:00|24|65MaMcNtNyOnSmWz             |BONN|BONN|       |    | XA |BONN|     |    |
----------------------------------------------------------------------------------------------------------------
|KSP97280A |97280A|NOV01|305|01:00|24|K1KgMuTa                     |CRL |CRL |       |    | XX |NASA|     |    |
|KSP97280B |97280B|NOV03|307|01:00|24|K1KgMuTa                     |CRL |CRL |       |    | XX |NASA|     |    |
|JADE-9704 |JD9704|NOV03|307|05:00|24|AiCcKaS3                     |GSI |GSI |97NOV20|    | XF |GSI |     |    |
|NEOS-A236 |NA236 |NOV04|308|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A022 |CA022 |NOV04|308|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
|KSP97280C |97280C|NOV09|313|01:00|24|K1KgMuTa                     |CRL |CRL |       |    | XX |NASA|     |    |
|KSP97280D |97280D|NOV11|315|01:00|24|K1KgMuTa                     |CRL |CRL |       |    | XX |NASA|     |    |
|NEOS-A237 |NA237 |NOV11|315|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CRF-1     |CRF01 |NOV12|316|20:00|24|HoKaKk                       |NASA|WASH|97DEC23|    | XN |USNO|     |    |
|KSP97280E |97280E|NOV13|317|01:00|24|K1KgMuTa                     |CRL |CRL |       |    | XX |NASA|     |    |
|IRIS-S119 |IS119 |NOV17|321|12:00|24|GcHhHoOhWfWz                 |BONN|BONN|       |    | XH |BONN|     |    |
|CORE-A023 |CA023 |NOV18|322|18:00|24|GcHhHoMaWf                   |NASA|HAYS|       |    | XA |NASA|     |    |
|NEOS-A238 |NA238 |NOV18|322|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-OHIG3|COHIG3|NOV20|324|14:00|24|HhHoKkOhWz                   |BONN|BONN|       |    | XA |BONN|     |    |
|IRIS-S120 |IS120 |NOV24|328|12:00|24|GcHhOhWfWz                   |BONN|BONN|       |    | XH |BONN|     |    |
|NEOS-A239 |NA239 |NOV25|329|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
----------------------------------------------------------------------------------------------------------------
|NEOS-A240 |NA240 |DEC02|336|18:00|24|ApGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A024 |CA024 |DEC02|336|18:00|24|GcHoMaWf                     |NASA|WASH|       |    | XA |NASA|     |    |
|CRF-2     |CRF02 |DEC03|337|20:00|24|HoKaKk                       |NASA|WASH|02APR04|    | XN |USNO|     |    |
|EUROPE-40 |EURO40|DEC08|342|14:00|24|65EbMaMcNtNyOnSmTgWz         |BONN|BONN|       |    | XA |BONN|     |    |
|NEOS-A241 |NA241 |DEC09|343|18:00|24|GcGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B206 |CB206 |DEC10|344|18:30|24|15GcKaKkMcSm                 |NASA|WASH|01OCT09|    | XA |NASA|     |    |
|IRIS-S121 |IS121 |DEC15|349|12:00|24|GcHhWfWz                     |BONN|BONN|       |    | XH |BONN|     |    |
|CORE-A025 |CA025 |DEC16|350|18:00|24|GcHoMaWf                     |NASA|WASH|01JUN12|    | XA |NASA|     |    |
|NEOS-A242 |NA242 |DEC16|350|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|VLBA6     |RDV06 |DEC17|351|20:00|24|GcGnKkMcNyVaWf               |NASA|VLBA|       |    | XA |NASA|     |    |
|CORE-B306 |CB306 |DEC22|356|14:00|24|GcGnKkNtNy                   |NASA|HAYS|       |    | XA |NASA|     |    |
|NEOS-A243 |NA243 |DEC23|357|16:00|24|GcGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|NEOS-A244 |NA244 |DEC30|364|18:00|24|GnKkNyWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A026 |CA026 |DEC30|364|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
## Master file format version 1.0           2001.08.21 CCT&NRV
