OCOTILLO   32.79  244.20  -36.74    0.63    0.53    0.78   -0.20   -0.27   -0.14   -0.01   -0.01    0.20   -0.55    0.01   -0.02 
OHIGGINS  -63.32  302.10   39.92    0.13   -0.07   -0.09   -0.15    0.46   -0.27    0.04   -0.04   -0.37   -0.52   -0.06   -0.04 
ONSALA60   57.40   11.93   59.27   -0.02   -0.22   -0.13    0.26    0.15    0.47    0.02    0.06   -0.61    0.14   -0.08    0.03 
ONSALA85   57.39   11.92   58.42   -0.02   -0.22   -0.13    0.26    0.15    0.47    0.02    0.06   -0.61    0.14   -0.08    0.03 
OV-VLBA    37.23  241.72 1196.32    0.53    0.46    0.66   -0.12   -0.30   -0.15   -0.02   -0.01    0.23   -0.53    0.01   -0.03 
OVRO_130   37.23  241.72 1200.88    0.53    0.46    0.66   -0.12   -0.30   -0.15   -0.02   -0.01    0.23   -0.53    0.01   -0.03 
OVR_7853   37.23  241.71 1178.16    0.53    0.46    0.66   -0.12   -0.30   -0.15   -0.02   -0.01    0.23   -0.53    0.01   -0.03 
PARKES    -33.00  148.26  414.82   -0.49    0.67   -0.86    0.19   -0.11    0.21    0.02    0.03    0.50    0.35    0.07   -0.06 
PBLOSSOM   34.51  242.08  890.86    0.54    0.50    0.74   -0.14   -0.28   -0.15   -0.02   -0.01    0.22   -0.54    0.01   -0.02 
PENTICTN   49.32  240.38  529.63    0.36    0.37    0.34   -0.04   -0.39   -0.20   -0.04   -0.00    0.26   -0.53    0.00   -0.04 
PIETOWN    34.30  251.88 2364.67    0.74    0.42    0.67   -0.37   -0.28   -0.10   -0.02   -0.02    0.13   -0.55    0.01   -0.03 
PINFLATS   33.61  243.54 1235.55    0.60    0.52    0.76   -0.18   -0.28   -0.14   -0.01   -0.01    0.21   -0.54    0.01   -0.02 
PLATTVIL   40.18  255.27 1501.38    0.63    0.30    0.48   -0.36   -0.34   -0.09   -0.03   -0.01    0.10   -0.57    0.00   -0.03 
PRESIDIO   37.81  237.54  -29.44    0.44    0.48    0.65   -0.02   -0.29   -0.18   -0.02   -0.00    0.28   -0.51    0.01   -0.03 
PT_REYES   38.10  237.06   -2.39    0.43    0.48    0.64   -0.01   -0.30   -0.18   -0.02   -0.00    0.28   -0.51    0.01   -0.03 
PVERDES    33.74  241.60   69.34    0.52    0.51    0.76   -0.13   -0.28   -0.15   -0.01   -0.01    0.23   -0.53    0.01   -0.02 
QUINCY     39.97  239.06 1105.76    0.46    0.45    0.59   -0.05   -0.31   -0.18   -0.02   -0.00    0.26   -0.52    0.01   -0.03 
RICHMOND   25.61  279.62  -13.62    0.81    0.04    0.13   -0.97   -0.21    0.01   -0.05   -0.03   -0.12   -0.58    0.01   -0.04 
ROBLED32   40.43  355.75  840.56    0.08   -0.51   -0.45    0.43    0.01    0.32   -0.03    0.07   -0.63   -0.02   -0.10   -0.00 
SAGARA     34.68  138.18  151.42   -0.40    0.53   -0.71   -0.14    0.22   -0.23   -0.06   -0.04    0.46    0.42    0.09   -0.03 
SANPAULA   34.39  241.00  184.88    0.51    0.51    0.75   -0.11   -0.28   -0.15   -0.01   -0.01    0.24   -0.53    0.01   -0.02 
SANTIA12  -33.15  289.33  730.28    0.58   -0.21   -0.14   -0.79    0.27   -0.08    0.02    0.03   -0.29   -0.51   -0.01   -0.06 
SC-VLBA    17.76  295.42  -15.00    0.86   -0.23   -0.43   -1.03   -0.08    0.02   -0.07   -0.02   -0.28   -0.55   -0.00   -0.06 
SEATTLE1   47.69  237.75  -16.43    0.35    0.38    0.38   -0.01   -0.37   -0.22   -0.04   -0.00    0.28   -0.52    0.01   -0.04 
SESHAN25   31.10  121.20   29.44   -0.65    0.48   -0.56   -0.57    0.26   -0.13   -0.04   -0.07    0.32    0.52    0.11   -0.00 
SEST      -29.26  289.27 2415.76    0.69   -0.22   -0.16   -0.88    0.23   -0.07    0.01    0.03   -0.28   -0.51   -0.00   -0.06 
SINTOTU    43.53  141.84  118.53   -0.28    0.46   -0.53   -0.04    0.25   -0.31   -0.05   -0.04    0.49    0.39    0.08   -0.02 
SINTOTU3   43.53  141.84  118.80   -0.28    0.46   -0.53   -0.04    0.25   -0.31   -0.05   -0.04    0.49    0.39    0.08   -0.02 
