This file was produced by gsnoop                                                                                                 
Using spoolfile:  /500/solutions/2015a_astro/Dec-18/2015a_astro_minus3.spl                                                       
                                                                                                                                 
 VLBI source positions for epoch  51544.5 MJD                                                                                    
                                                                                                                                 
source name      |Right  Ascension |  Declination    |  Uncertainties     | cor  | mean  | first | last  |  observations         
IAU name|IVS name|Hr|Mn|  Seconds  |Deg|Mn| Seconds  |  Unc RA  |Unc Dec  |Ra-Dc |  MJD  |  MJD  |  MJD  |sess |delay |rates     
        |        |  |  |           |   |  |          |          |         |      |       |       |      |     |      |           
0        0034-220 00 37 14.82591734 -21 45 24.7141633 0.00002633 0.0006929 -.5397 54285.4 54088.1 55784.7     2     43      0 GLO
0        0034+108 00 37 26.04142772  11 09 50.9210538 0.00000615 0.0001798 -.0424 52728.7 49914.7 56875.5     3    220      0 GLO
0        0034+078 00 37 32.19717987  08 08 13.0570569 0.00000615 0.0001639 0.1173 55164.8 53561.9 56879.0     2    149      0 GLO
0        0035+367 00 37 46.14300074  36 59 10.8838152 0.00002013 0.0003936 -.0709 54580.4 50242.8 56662.4     2     37      0 GLO
0        0035+238 00 37 58.29975791  24 07 11.8686174 0.00002402 0.0006316 -.6293 56401.6 54292.7 56809.7     2     74      0 GLO
0        0035-252 00 38 14.73550250 -24 59  2.2352786 0.00000117 0.0000206 -.0435 55405.7 50632.3 57252.7   142   2698      0 GLO
0        0035+121 00 38 18.01658322  12 27 31.2481455 0.00000737 0.0002179 -.0597 55879.4 50085.5 56875.5     3     95      0 GLO
0        0035-024 00 38 20.52934466 -02 07 40.5470538 0.00000628 0.0002065 -.3249 54805.2 54125.8 56662.4     2    112      0 GLO
0        0035-037 00 38 20.79434195 -03 29 58.9616733 0.00000820 0.0002792 -.3161 54418.2 53573.0 56662.4     2    106      0 GLO
0        0035+413 00 38 24.84358761  41 37  6.0002628 0.00000141 0.0000199 -.0266 54063.8 49422.9 57252.7    47   2086      0 GLO
0        0035+503 00 38 28.41360177  50 35 25.8340744 0.00001531 0.0001733 0.1977 56151.1 50306.3 57099.3     3    120      0 GLO
0        0036-216 00 38 29.95482100 -21 20  4.0204655 0.00001849 0.0005896 0.4033 54371.1 50632.3 56879.0     3    119      0 GLO
0        0036-099 00 39  6.29167101 -09 42 46.8896793 0.00000803 0.0002480 0.3512 56397.8 54088.1 56879.0     2     87      0 GLO
0        0036-191 00 39 16.92457460 -18 54  5.6083407 0.00001333 0.0005021 0.3542 56694.7 53560.8 57012.1     2     87      0 GLO
0        0037+139 00 39 39.61958754  14 11 57.5566689 0.00000873 0.0001911 -.2376 51059.0 50085.5 53193.7     7    214      0 GLO
0        0037+487 00 39 46.99886182  49 00 33.1748669 0.00000918 0.0001155 0.0991 53856.4 50306.3 57012.1     2    170      0 GLO
0        0037-593 00 40  7.84907105 -59 03 52.7639592 0.00005043 0.0005800 0.3593 53594.7 52887.6 54457.4     5     30      0 GLO
0        0037+011 00 40 13.52545301  01 25 46.3495118 0.00000985 0.0002656 0.4166 56879.0 56879.0 56879.0     1     72      0 GLO
0        0037-329 00 40 17.54068827 -32 43 27.8261139 0.00001434 0.0004698 0.5469 55720.7 52306.7 56879.0     2     75      0 GLO
0        0038-326 00 40 30.65478239 -32 25 20.3278959 0.00003716 0.0010804 -.7361 55281.0 52306.7 55776.7     2     63      0 GLO
0        0038-020 00 40 57.61157937 -01 46 32.0265114 0.00000388 0.0001281 -.1276 54463.5 50576.2 56818.4     3    178      0 GLO
0        0038+319 00 41 15.93401104  32 11  7.5668481 0.00001516 0.0002626 0.0233 55454.7 55454.7 55454.7     1     66      0 GLO
0        0038+133 00 41 17.21097189  13 39 27.5266599 0.00001150 0.0002792 0.0397 56334.4 54112.8 56875.5     2     97      0 GLO
0        0039+230 00 42  4.54517160  23 20  1.0619260 0.00000173 0.0000400 -.0933 52354.3 48919.9 57103.0    32   1129      0 GLO
0        0039+568 00 42 19.45170022  57 08 36.5861315 0.00001744 0.0001873 0.2133 51249.7 49577.0 54664.7     2    146      0 GLO
0        0040+098 00 42 44.37171015  10 09 49.2080398 0.00000696 0.0001936 0.0914 53483.2 49914.7 56875.5     2    158      0 GLO
0        0044-846 00 44 26.68930481 -84 22 39.9876745 0.00051892 0.0007881 -.0165 57155.5 57153.0 57159.0     4     39      0 GLO
0        0042+186 00 44 42.22785992  18 55  5.0346509 0.00001188 0.0003721 0.3080 55711.9 53126.1 56875.5     2    116      0 GLO
0        0041+677 00 44 50.75961120  68 03  2.6858957 0.00003115 0.0001565 -.0576 54346.0 53560.8 56662.4     2     79      0 GLO
0        0042-373 00 45 12.06608497 -37 05 48.4668421 0.00000885 0.0002922 -.0175 57012.1 57012.1 57012.1     1     56      0 GLO
0        0043-392 00 45 30.50919098 -39 00  2.9250123 0.00013293 0.0069102 0.3643 54690.8 52409.7 54853.7     2     15      0 GLO
0        0043+246 00 46  7.82574428  24 56 32.5244839 0.00000378 0.0000970 0.0606 54958.7 53126.1 56809.7     3    181      0 GLO
0        0043-268 00 46 13.77615680 -26 31 54.4529403 0.00001447 0.0004949 -.3001 54853.7 54853.7 54853.7     1     58      0 GLO
0        0044+387 00 46 47.57826491  39 00 47.1483115 0.00001353 0.0002642 -.3063 52130.9 50242.8 56662.4     2     85      0 GLO
0        0044+566 00 47  0.42881199  56 57 42.3945196 0.00001555 0.0001738 -.0787 50823.1 49577.0 56662.4     3    179      0 GLO
0        0045+243 00 47 43.87135740  24 35 15.9938887 0.00000739 0.0002069 -.1350 53417.5 50085.5 56875.5     3    166      0 GLO
0        NGC0262  00 48 47.14147981  31 57 25.0845684 0.00000168 0.0000377 -.1929 53454.2 50219.8 55299.7    26    981      0 GLO
0        0046+063 00 48 58.72313200  06 40  6.4735621 0.00001167 0.0002963 0.3673 55785.5 53126.1 56879.0     3     96      0 GLO
0        0046-315 00 49 22.90074442 -31 16 27.3213118 0.00003912 0.0010303 -.8273 55207.9 52306.7 55776.7     2     61      0 GLO
0        0046+511 00 49 37.99121873  51 28 13.6921802 0.00000569 0.0000715 -.1680 54805.3 49577.0 56995.7     7    499      0 GLO
0        0047+023 00 49 43.23593919  02 37  3.7785882 0.00000262 0.0000826 -.1579 55198.3 49914.7 57275.7    27    901      0 GLO
0        0047-579 00 49 59.47304986 -57 38 27.3399656 0.00000749 0.0000783 0.2277 52295.1 47626.5 55420.7    42    205      0 GLO
0        0047-051 00 50 21.53479333 -04 52 20.5949542 0.00000666 0.0001953 0.2896 54628.0 50576.2 56879.0     2    112      0 GLO
0        0048-097 00 50 41.31738678 -09 29  5.2103537 0.00000027 0.0000060 -.0600 51711.7 44773.8 57330.7  2023  45506      0 GLO
0        0048-071 00 51  8.20981961 -06 50  2.2292294 0.00000462 0.0001464 0.0332 53705.9 50576.2 56879.0     2    145      0 GLO
0        0048-427 00 51  9.50181518 -42 26 33.2933897 0.00000243 0.0000357 -.0314 55739.6 52306.7 57255.8   122   1425      0 GLO
0        0048+447 00 51 36.47377463  44 59 35.9585464 0.00001199 0.0001359 -.0088 54760.1 50306.3 57012.1     2    134      0 GLO
0        0049+437 00 52 27.82586500  44 02 54.5161271 0.00000839 0.0001083 -.0454 53367.0 50242.8 57012.1     3    196      0 GLO
0        0046+861 00 52 32.85678892  86 27 44.2523388 0.00019877 0.0001206 -.7371 54952.7 53573.0 55168.8     2     96      0 GLO
0        0050-287 00 52 52.55639560 -28 25 54.1851448 0.00002979 0.0008181 -.8054 55476.2 53573.0 55776.7     2     66      0 GLO
0        0051-077 00 53 36.51573249 -07 27 29.6215741 0.00001146 0.0003336 0.2425 56286.5 53560.8 56879.0     2     84      0 GLO
0        0051+291 00 53 44.32346545  29 25  7.1001064 0.00000979 0.0001669 -.1510 56463.8 56463.8 56463.8     1     64      0 GLO
0        0051+679 00 54 17.62165641  68 11 11.1760090 0.00006650 0.0001497 -.0787 52112.7 49827.5 56662.4     3     68      0 GLO
0        0051+706 00 54 17.68498621  70 53 56.6182861 0.00002937 0.0001087 0.2677 53563.7 49827.5 56879.0     2    134      0 GLO
0        0052-201 00 54 32.94845743 -19 53  1.0018132 0.00000790 0.0002626 0.0543 55144.4 53523.9 57012.1     3    173      0 GLO
0        0052-125 00 55 11.78258790 -12 17 57.0974803 0.00000473 0.0001648 -.1602 55191.4 53552.8 57012.1     2    171      0 GLO
0        0054+161 00 56 55.29433080  16 25 13.3408956 0.00000100 0.0000142 0.0597 56598.0 50156.3 57330.7   116   2191      0 GLO
0        0054-006 00 57 17.00220902 -00 24 33.1774655 0.00000839 0.0002391 0.3486 56548.4 53573.0 56879.0     2     80      0 GLO
0        NGC0315  00 57 48.88335003  30 21  8.8119152 0.00000303 0.0000496 -.3853 51950.0 50219.8 53178.7    22    869      0 GLO
0        0055-328 00 58  2.23032179 -32 34 20.7495657 0.00001149 0.0003587 -.1153 56061.5 52306.7 57012.1     2     99      0 GLO
0        0055-059 00 58  5.06631083 -05 39 52.2782437 0.00000127 0.0000301 -.0874 55442.4 50576.2 57304.7   109   1892      0 GLO
0        0055-340 00 58 15.64180529 -33 47 57.4927769 0.00001731 0.0006251 -.0865 56204.7 56204.7 56204.7     1     54      0 GLO
0        0055+329 00 58 32.06902713  33 11 17.2144899 0.00000817 0.0001821 0.1943 55427.2 53560.8 56809.7     2    141      0 GLO
0        0055+060 00 58 33.80457907  06 20  6.0731731 0.00000671 0.0001723 0.2652 56280.2 53126.1 56879.0     3    119      0 GLO
0        0056-187 00 58 37.26664545 -18 29 37.0391430 0.00059487 0.0175983 -.6499 57012.1 57012.1 57012.1     1      9      0 GLO
0        0056-572 00 58 46.58117601 -56 59 11.4704411 0.00001721 0.0002353 0.0297 55860.1 47626.5 57152.0    15    210      0 GLO
0        0056-001 00 59  5.51492696  00 06 51.6210391 0.00000489 0.0001406 -.2215 50627.4 47875.8 53068.7    15    363      0 GLO
0        0056+579 00 59 52.20899235  58 12 23.6830238 0.00002414 0.0001710 -.1298 54008.2 52306.7 56662.4     2     64      0 GLO
0        0057-338 01 00  9.39094905 -33 37 31.9376910 0.00004314 0.0020374 -.1839 54381.5 52306.7 54440.7     2     36      0 GLO
0        0057+334 01 00 38.29072121  33 45  6.1213572 0.00000855 0.0001924 0.1819 55482.1 53561.9 56809.7     2    137      0 GLO
0        0057+678 01 00 51.66426402  68 08 20.5304482 0.00010179 0.0002090 0.1376 52688.6 49827.5 56662.4     2     43      0 GLO
0        0058+058 01 01 14.67014648  06 05 44.5045053 0.00001234 0.0003785 -.1114 56976.6 56904.7 57012.1     2    106      0 GLO
0        0058+498 01 01 16.99751543  50 04 44.9893396 0.00007301 0.0006584 -.5946 52748.7 50306.3 54088.1     2     48      0 GLO
0        0059-287 01 01 52.38964157 -28 31 20.4315009 0.00003720 0.0012106 0.3007 55491.4 50688.3 56879.0     2     58      0 GLO
