MOJ_7288   35.33  243.11  896.17    0.38    0.42    0.80   -0.19   -0.16   -0.05   -0.14    0.03    0.13   -0.31   -0.06   -0.23 
MON_PEAK   32.89  243.58 1838.75    0.40    0.45    0.87   -0.23   -0.15   -0.06   -0.14    0.03    0.12   -0.31   -0.07   -0.23 
MV2ONSLA   57.40   11.93   43.37    0.00   -0.10   -0.11    0.32    0.09    0.33   -0.01   -0.09   -0.39    0.07    0.12    0.01 
NL-VLBA    41.77  268.43  222.27    0.50    0.21    0.26   -0.60   -0.20    0.00   -0.10    0.11   -0.00   -0.34   -0.20   -0.11 
NOBEY_6M   35.94  138.47 1389.57   -0.26    0.38   -0.72   -0.19    0.12   -0.14    0.07    0.01    0.28    0.26   -0.02    0.20 
NOME       64.56  194.63  331.66    0.02    0.17   -0.09    0.16   -0.11   -0.32   -0.07   -0.12    0.38   -0.10    0.14   -0.05 
NOTO       36.88   14.99  143.23   -0.03   -0.46   -0.06    0.78    0.06    0.19   -0.03   -0.07   -0.37    0.08    0.16   -0.02 
NRAO20     38.44  280.17  806.61    0.53    0.11    0.03   -0.76   -0.19    0.03   -0.05    0.12   -0.07   -0.34   -0.23   -0.02 
NRAO85_1   38.44  280.17  807.68    0.53    0.11    0.03   -0.76   -0.19    0.03   -0.05    0.12   -0.07   -0.34   -0.23   -0.02 
NRAO85_3   38.43  280.16  785.85    0.53    0.11    0.03   -0.76   -0.19    0.03   -0.05    0.12   -0.07   -0.34   -0.23   -0.02 
NRAO_140   38.44  280.16  812.52    0.53    0.11    0.03   -0.76   -0.19    0.03   -0.05    0.12   -0.07   -0.34   -0.23   -0.02 
NYALES20   78.93   11.87   87.28    0.04    0.09   -0.10    0.05    0.11    0.41    0.02   -0.03   -0.40    0.06    0.03    0.02 
OCOTILLO   32.79  244.20  -36.74    0.42    0.45    0.87   -0.25   -0.15   -0.06   -0.14    0.03    0.12   -0.31   -0.07   -0.23 
OHIGGINS  -63.32  302.10   39.92    0.06   -0.01   -0.13   -0.17    0.28   -0.17   -0.04   -0.11   -0.22   -0.32   -0.14    0.05 
ONSALA60   57.40   11.93   59.27    0.00   -0.10   -0.11    0.32    0.09    0.33   -0.01   -0.09   -0.39    0.07    0.12    0.01 
ONSALA85   57.39   11.92   58.42    0.00   -0.10   -0.11    0.32    0.09    0.33   -0.01   -0.09   -0.39    0.07    0.12    0.01 
OV-VLBA    37.23  241.72 1196.32    0.35    0.39    0.74   -0.14   -0.17   -0.06   -0.15    0.02    0.14   -0.31   -0.05   -0.23 
OVRO_130   37.23  241.72 1200.88    0.35    0.39    0.74   -0.14   -0.17   -0.06   -0.15    0.02    0.14   -0.31   -0.05   -0.23 
OVR_7853   37.23  241.71 1178.16    0.35    0.39    0.74   -0.14   -0.17   -0.06   -0.15    0.02    0.14   -0.31   -0.05   -0.23 
PARKES    -33.00  148.26  414.82   -0.36    0.50   -0.90    0.19   -0.05    0.10   -0.09    0.01    0.28    0.19    0.08    0.20 
PBLOSSOM   34.51  242.08  890.86    0.36    0.42    0.83   -0.17   -0.16   -0.06   -0.14    0.02    0.13   -0.31   -0.05   -0.24 
PENTICTN   49.32  240.38  529.63    0.22    0.31    0.39   -0.06   -0.24   -0.10   -0.17    0.02    0.16   -0.31   -0.04   -0.21 
PIETOWN    34.30  251.88 2364.67    0.54    0.38    0.74   -0.44   -0.16   -0.03   -0.13    0.05    0.08   -0.31   -0.12   -0.21 
PINFLATS   33.61  243.54 1235.55    0.40    0.45    0.85   -0.22   -0.16   -0.06   -0.14    0.03    0.12   -0.31   -0.07   -0.23 
PLATTVIL   40.18  255.27 1501.38    0.44    0.27    0.53   -0.43   -0.19   -0.03   -0.13    0.08    0.06   -0.32   -0.14   -0.18 
PRESIDIO   37.81  237.54  -29.44    0.26    0.38    0.74   -0.04   -0.17   -0.07   -0.15    0.01    0.16   -0.30   -0.02   -0.23 
PT_REYES   38.10  237.06   -2.39    0.25    0.38    0.73   -0.02   -0.17   -0.08   -0.15    0.00    0.17   -0.30   -0.02   -0.24 
PVERDES    33.74  241.60   69.34    0.34    0.42    0.86   -0.16   -0.16   -0.06   -0.14    0.02    0.13   -0.31   -0.05   -0.24 
QUINCY     39.97  239.06 1105.76    0.29    0.36    0.67   -0.07   -0.18   -0.08   -0.16    0.01    0.16   -0.30   -0.03   -0.23 
RICHMOND   25.61  279.62  -13.62    0.60    0.11    0.12   -1.11   -0.12   -0.00   -0.06    0.09   -0.07   -0.34   -0.24   -0.03 
ROBLED32   40.43  355.75  840.56    0.06   -0.32   -0.48    0.55   -0.00    0.21    0.03   -0.07   -0.40   -0.05    0.14    0.11 
SAGARA     34.68  138.18  151.42   -0.27    0.39   -0.75   -0.20    0.12   -0.14    0.06    0.01    0.28    0.26   -0.02    0.20 
SANPAULA   34.39  241.00  184.88    0.33    0.42    0.84   -0.14   -0.16   -0.06   -0.14    0.02    0.14   -0.31   -0.05   -0.24 
SANTIA12  -33.15  289.33  730.28    0.45   -0.13   -0.19   -0.90    0.16   -0.03   -0.02   -0.10   -0.18   -0.29   -0.23    0.02 
SC-VLBA    17.76  295.42  -15.00    0.64   -0.09   -0.52   -1.17   -0.03    0.00   -0.02    0.06   -0.16   -0.35   -0.23    0.09 
SEATTLE1   47.69  237.75  -16.43    0.21    0.31    0.44   -0.03   -0.23   -0.10   -0.17    0.01    0.17   -0.31   -0.02   -0.21 
SESHAN25   31.10  121.20   29.44   -0.45    0.38   -0.59   -0.70    0.13   -0.09    0.03    0.05    0.20    0.34   -0.11    0.15 
SEST      -29.26  289.27 2415.76    0.51   -0.15   -0.22   -1.00    0.14   -0.02   -0.02   -0.09   -0.17   -0.29   -0.23    0.02 
SINTOTU    43.53  141.84  118.53   -0.18    0.33   -0.55   -0.07    0.13   -0.19    0.08   -0.01    0.30    0.25    0.01    0.19 
SINTOTU3   43.53  141.84  118.80   -0.18    0.33   -0.55   -0.07    0.13   -0.19    0.08   -0.01    0.30    0.25    0.01    0.19 
SNDPOINT   55.35  199.52   92.74    0.08    0.17   -0.01    0.29   -0.12   -0.26   -0.09   -0.13    0.36   -0.13    0.17   -0.08 
SOURDOGH   62.66  214.52  747.96    0.09    0.19    0.03    0.15   -0.21   -0.26   -0.14   -0.08    0.31   -0.22    0.09   -0.13 
SUWON      37.28  127.05   81.46   -0.37    0.38   -0.58   -0.46    0.15   -0.12    0.05    0.04    0.23    0.31   -0.08    0.17 
SVETLOE    60.53   29.78   86.01   -0.06   -0.10    0.03    0.24    0.19    0.31   -0.06   -0.07   -0.33    0.19    0.08   -0.06 
SYOWA     -69.01   39.59   50.93   -0.03    0.01   -0.00    0.02   -0.24   -0.30    0.02    0.03   -0.29    0.27    0.03   -0.05 
TATEYA00   34.94  139.85  126.15   -0.25    0.38   -0.74   -0.15    0.11   -0.14    0.07    0.00    0.29    0.25   -0.01    0.20 
TATEYAMA   34.94  139.85  126.17   -0.25    0.38   -0.74   -0.15    0.11   -0.14    0.07    0.00    0.29    0.25   -0.01    0.20 
TIDBIN64  -35.40  148.98  688.87   -0.29    0.42   -0.83    0.20   -0.05    0.11   -0.09    0.02    0.29    0.18    0.08    0.19 
