$$ VTRF2005
$$
$$ Due to a transient post-quake behaviour of GILCREEK, this station is treated
$$ in a different way then the others !!!
$$ The position of GILCREEK is modeled to be piece-wise linear. For this
$$ reason only the coordinates of the reference epoch of the first "leg" 
$$ (1979.0.101. - 2002.11.02) are referred to 1997.0.
$$ The coordinates of each start of the linear "legs" are referred to the 
$$ respective epoch!!
$$ Coordinates of an arbitrary observing epoch can, thus, be computed 
$$ using the respective period with its coordinates at the reference epoch 
$$ and the respective velocity.
$$ 
$$ changed the line MIURA_00 added the date please recheck, Jörg Wresnik
$$  
$$            X/Vx           Y/Vy          Z/Vz               Sigmas
                0.0086       -0.0002       -0.0052   0.0008   0.0005   0.0017
TATEYAMA -4000983.4129  3375275.9584  3632213.1979   0.0039   0.0034   0.0036
                0.0119        0.0015        0.0075   0.0009   0.0008   0.0009
TATEYA00 -4000983.4122  3375275.9196  3632213.2145   0.0047   0.0041   0.0043  000701
                0.0119        0.0015        0.0075   0.0010   0.0009   0.0009
TIDBIN64 -4460894.7495  2682361.5218 -3674748.3393   0.0327   0.0341   0.0484
               -0.0369        0.0012        0.0434   0.0043   0.0045   0.0063
TIGOCONC  1492053.9694 -4887960.9543 -3803541.4470   0.0050   0.0082   0.0095
                0.0337       -0.0061        0.0136   0.0009   0.0009   0.0013
TIGOWTZL  4075572.6764   931755.1200  4801584.3632   0.0026   0.0020   0.0027
               -0.0160        0.0172        0.0090   0.0005   0.0004   0.0005
TITIJIMA -4489356.6034  3482989.6699  2887931.2742   0.0488   0.0423   0.0446
                0.0152        0.0166        0.0051   0.0068   0.0062   0.0065
TOMAKO11 -3680586.3230  2917515.7563  4300987.7018   0.0157   0.0175   0.0150
               -0.0012        0.0040       -0.0028   0.0030   0.0033   0.0028
TOULOUSE  4627949.9757   119843.6724  4372863.0167   0.0224   0.0216   0.0222
               -0.0137        0.0188        0.0092   0.0038   0.0045   0.0039
TROMSONO  2102904.0362   721602.5926  5958201.3474   0.0197   0.0130   0.0459
               -0.0200        0.0210        0.0082   0.0039   0.0027   0.0089
TRYSILNO  2988029.1734   655957.0709  5578669.1686   0.0363   0.0120   0.0659
               -0.0070        0.0095        0.0212   0.0075   0.0025   0.0137
TSUKU3   -3957184.4819  3310224.7824  3737709.1280   0.0097   0.0088   0.0091
               -0.0011        0.0056       -0.0073   0.0013   0.0012   0.0013
TSUKUBA  -3957172.9177  3310237.9543  3737708.9558   0.0058   0.0050   0.0057
               -0.0011        0.0056       -0.0073   0.0008   0.0007   0.0009
URUMQI     228310.7212  4631922.7915  4367063.9852   0.0007   0.0020   0.0023
