MATERA      40.65    16.70   543.37    -0.15    -0.50    -0.08      0.69    -0.01    -0.00     -0.43     0.05     0.17      0.01     0.01    -0.01      0.09     0.25    -0.02     -0.06    -0.01    -0.01 
MCD_7850    30.68  -104.02  2004.22     0.84     0.39     0.87     -0.62    -0.03    -0.03      0.06    -0.33    -0.16     -0.24     0.01     0.02     -0.21    -0.05    -0.13      0.07     0.01     0.01 
MEDICINA    44.52    11.65    67.17    -0.13    -0.43    -0.20      0.58     0.00    -0.01     -0.45     0.02     0.16      0.03     0.01    -0.00      0.08     0.28    -0.00     -0.07    -0.01    -0.01 
METSAHOV    60.22    24.39    79.97    -0.11    -0.17    -0.05      0.22    -0.01    -0.01     -0.41     0.12     0.11     -0.02     0.00    -0.01      0.18     0.36    -0.03     -0.04    -0.01    -0.02 
METSHOVI    60.24    24.38    59.62    -0.11    -0.17    -0.05      0.22    -0.01    -0.01     -0.41     0.12     0.11     -0.02     0.00    -0.01      0.18     0.36    -0.03     -0.04    -0.01    -0.02 
MIAMI20     25.61   -80.38   -11.77     0.67     0.23     0.23     -1.38    -0.01     0.04     -0.05    -0.36    -0.27     -0.16     0.00     0.02     -0.18    -0.02    -0.05      0.12     0.01     0.00 
MILESMON    46.40  -105.86   703.50     0.48     0.26     0.44     -0.32    -0.02    -0.02      0.08    -0.34    -0.13     -0.23     0.01     0.02     -0.29    -0.10    -0.17      0.08     0.00     0.01 
MIURA       35.21   139.65   105.13    -0.25     0.39    -0.81     -0.12    -0.06    -0.05      0.34     0.31    -0.01      0.24    -0.01    -0.03      0.12    -0.16     0.10     -0.02    -0.00     0.01 
MIYAZAKI    32.09   131.48   107.13    -0.35     0.38    -0.78     -0.45    -0.05    -0.07      0.29     0.35    -0.07      0.23    -0.01    -0.03      0.13    -0.12     0.08      0.01    -0.00     0.01 
MIZNAO10    39.13   141.13   111.21    -0.21     0.38    -0.72     -0.03    -0.05    -0.05      0.35     0.31     0.01      0.23    -0.01    -0.03      0.12    -0.16     0.10     -0.02    -0.01     0.01 
MIZUSGSI    39.11   141.20   173.16    -0.21     0.38    -0.72     -0.03    -0.05    -0.05      0.35     0.31     0.01      0.23    -0.01    -0.03      0.12    -0.16     0.10     -0.02    -0.01     0.01 
MK-VLBA     19.80  -155.46  3763.04     0.35     0.42     0.70      1.28     0.01    -0.06      0.39    -0.11     0.26     -0.14     0.00     0.01     -0.04    -0.06    -0.02     -0.04     0.00     0.00 
MOJAVE12    35.33  -116.89   910.21     0.56     0.46     0.87     -0.10    -0.03    -0.03      0.13    -0.31    -0.06     -0.27     0.01     0.02     -0.23    -0.09    -0.16      0.03     0.00     0.01 
MOJ_7288    35.33  -116.89   896.17     0.56     0.46     0.87     -0.10    -0.03    -0.03      0.13    -0.31    -0.06     -0.27     0.01     0.02     -0.23    -0.09    -0.16      0.03     0.00     0.01 
MON_PEAK    32.89  -116.42  1838.73     0.57     0.48     0.96     -0.13    -0.03    -0.03      0.12    -0.30    -0.06     -0.28     0.01     0.02     -0.21    -0.08    -0.14      0.03     0.00     0.01 
MOPRA      -31.27   149.10   867.32    -0.33     0.61    -1.16      0.28    -0.03     0.01      0.34     0.25     0.05      0.25    -0.02    -0.02     -0.08     0.11    -0.06      0.03    -0.00    -0.01 
MV2ONSLA    57.40    11.93    43.37    -0.08    -0.18    -0.14      0.28    -0.00    -0.01     -0.45     0.02     0.13      0.02     0.01    -0.00      0.10     0.36     0.01     -0.05    -0.01    -0.02 
NL-VLBA     41.77   -91.57   222.26     0.71     0.25     0.33     -0.71    -0.02     0.00     -0.03    -0.38    -0.22     -0.14     0.01     0.01     -0.22    -0.02    -0.10      0.09     0.00     0.01 
NOBEY_6M    35.94   138.47  1390.42    -0.25     0.40    -0.79     -0.15    -0.06    -0.06      0.33     0.32    -0.01      0.24    -0.01    -0.03      0.12    -0.15     0.08     -0.01    -0.01     0.01 
NOME        64.56  -165.37   331.70     0.04     0.20    -0.11      0.28    -0.01    -0.01      0.43    -0.04     0.16     -0.04    -0.00     0.00     -0.15    -0.36    -0.06     -0.17     0.01     0.02 
NOTO        36.88    14.99   143.23    -0.12    -0.54    -0.10      0.78    -0.00     0.01     -0.43     0.04     0.18      0.01     0.01    -0.00      0.08     0.21    -0.01     -0.05    -0.01    -0.01 
NOTOX       36.88    14.99   143.23    -0.12    -0.54    -0.10      0.78    -0.00     0.01     -0.43     0.04     0.18      0.01     0.01    -0.00      0.08     0.21    -0.01     -0.05    -0.01    -0.01 
NRAO20      38.44   -79.83   806.62     0.59     0.15     0.03     -0.82    -0.00     0.03     -0.08    -0.39    -0.26     -0.08     0.01     0.02     -0.25     0.01    -0.05      0.13     0.00     0.00 
NRAO85_1    38.44   -79.83   807.68     0.59     0.15     0.03     -0.82    -0.00     0.03     -0.08    -0.39    -0.26     -0.08     0.01     0.02     -0.25     0.01    -0.05      0.13     0.00     0.00 
NRAO85_3    38.43   -79.84   785.84     0.59     0.15     0.03     -0.82    -0.00     0.03     -0.08    -0.39    -0.26     -0.08     0.01     0.02     -0.25     0.01    -0.05      0.13     0.00     0.00 
NRAO_140    38.44   -79.84   812.51     0.59     0.15     0.03     -0.82    -0.00     0.03     -0.08    -0.39    -0.26     -0.08     0.01     0.02     -0.25     0.01    -0.05      0.13     0.00     0.00 
NYALES20    78.93    11.87    87.30     0.00     0.06    -0.14      0.04    -0.00    -0.00     -0.46     0.01     0.03      0.03     0.01     0.00      0.13     0.45     0.03      0.02    -0.01    -0.02 
OCOTILLO    32.79  -115.80   -36.74     0.60     0.49     0.96     -0.16    -0.03    -0.03      0.11    -0.32    -0.08     -0.27     0.01     0.02     -0.21    -0.08    -0.15      0.03     0.00     0.01 
OHIGGINS   -63.32   -57.90    39.93     0.09    -0.03    -0.17     -0.14    -0.01    -0.03     -0.27    -0.39    -0.16      0.03     0.01     0.02      0.32    -0.14    -0.01     -0.16    -0.00     0.00 
ONSALA60    57.40    11.93    59.28    -0.08    -0.18    -0.14      0.28    -0.00    -0.01     -0.45     0.02     0.13      0.02     0.01    -0.00      0.10     0.36     0.01     -0.05    -0.01    -0.02 
ONSALA85    57.39    11.92    58.42    -0.08    -0.18    -0.14      0.28    -0.00    -0.01     -0.45     0.02     0.13      0.02     0.01    -0.00      0.10     0.36     0.01     -0.05    -0.01    -0.02 
OV-VLBA     37.23  -118.28  1196.32     0.50     0.41     0.79     -0.04    -0.03    -0.03      0.14    -0.30    -0.05     -0.27     0.01     0.02     -0.23    -0.09    -0.16      0.02     0.00     0.01 
OVRO_130    37.23  -118.28  1200.81     0.50     0.41     0.79     -0.04    -0.03    -0.03      0.14    -0.30    -0.05     -0.27     0.01     0.02     -0.23    -0.09    -0.16      0.02     0.00     0.01 
OVR_7853    37.23  -118.29  1178.16     0.50     0.41     0.79     -0.04    -0.03    -0.03      0.14    -0.30    -0.04     -0.27     0.01     0.02     -0.23    -0.09    -0.16      0.02     0.00     0.01 
PARKES     -33.00   148.26   414.75    -0.33     0.59    -1.13      0.24    -0.03     0.01      0.34     0.25     0.05      0.25    -0.01    -0.02     -0.08     0.10    -0.06      0.03    -0.00    -0.01 
PBLOSSOM    34.51  -117.92   890.61     0.52     0.46     0.89     -0.06    -0.03    -0.03      0.14    -0.30    -0.05     -0.28     0.01     0.02     -0.22    -0.09    -0.16      0.02     0.00     0.01 
PENTICTN    49.32  -119.62   529.46     0.33     0.31     0.43     -0.01    -0.02    -0.02      0.17    -0.30    -0.03     -0.24     0.01     0.02     -0.30    -0.15    -0.20      0.02     0.01     0.01 
PIETOWN     34.30  -108.12  2364.68     0.70     0.37     0.81     -0.41    -0.03    -0.03      0.08    -0.32    -0.13     -0.25     0.01     0.02     -0.22    -0.06    -0.14      0.06     0.00     0.01 
PINFLATS    33.61  -116.46  1235.50     0.65     0.62     1.12     -0.13    -0.04    -0.05      0.14    -0.28    -0.02     -0.28     0.01     0.01     -0.26    -0.15    -0.24      0.03     0.01     0.02 
PLATTVIL    40.18  -104.73  1501.28     0.60     0.26     0.58     -0.42    -0.03    -0.02      0.06    -0.34    -0.15     -0.23     0.01     0.02     -0.25    -0.07    -0.15      0.08     0.00     0.01 
